X,Y,UX,UY,BOUNDARY,FORCE
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-3.664226991642570604e-03,-4.384413379798642388e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,-5.968325737635096252e-03,-7.998307620714519353e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,0.000000000000000000e+00,-7.490865165608244329e-03,-1.144269958394265006e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,0.000000000000000000e+00,-8.461079886262995106e-03,-1.470517065955203803e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,-9.024134872977295982e-03,-1.774021642944408061e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,-9.292964705709859385e-03,-2.051541641627367685e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.999999999999999556e-01,0.000000000000000000e+00,-9.366476148606814670e-03,-2.302013570236526377e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,0.000000000000000000e+00,-9.336265526649572752e-03,-2.527234830312458450e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,-9.285663623954115362e-03,-2.732790933710316575e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,-9.274644205612915873e-03,-2.928446039865795561e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,-1.736398652105510107e-03,-3.400706577116511999e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.000000000000000056e-01,-3.522088658580051646e-03,-7.261719985286294206e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,1.000000000000000056e-01,-4.878891472447918244e-03,-1.093397017532798075e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,1.000000000000000056e-01,-5.850664403094504168e-03,-1.437652958017638163e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,1.000000000000000056e-01,-6.504922709926156711e-03,-1.755092462591926680e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,1.000000000000000056e-01,-6.908577014085044710e-03,-2.042931125607555867e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.999999999999999556e-01,1.000000000000000056e-01,-7.125970420454227558e-03,-2.300301873206836434e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,1.000000000000000056e-01,-7.218709496897391525e-03,-2.529007405140526119e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,1.000000000000000056e-01,-7.245623640519937084e-03,-2.734511824832393245e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000056e-01,-7.262996052352119029e-03,-2.927344098031676306e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000111e-01,-1.102665539565786000e-03,-3.218149788916302954e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.000000000000000111e-01,-2.204718380185399264e-03,-6.889578025937060160e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,2.000000000000000111e-01,-3.210492615052552411e-03,-1.061249974749521249e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,2.000000000000000111e-01,-4.007429641769744838e-03,-1.415042472993769014e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,2.000000000000000111e-01,-4.587559784310476542e-03,-1.742002781564839717e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,2.000000000000000111e-01,-4.973311519710239478e-03,-2.037927698748923100e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.999999999999999556e-01,2.000000000000000111e-01,-5.198625281470858894e-03,-2.301203057616650963e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,2.000000000000000111e-01,-5.303643439460424026e-03,-2.532860135805967139e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,2.000000000000000111e-01,-5.334972419170684599e-03,-2.737112067044635347e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000111e-01,-5.351584126100816796e-03,-2.922316607884416564e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.999999999999999889e-01,-7.882507634784909284e-04,-3.268319954253322626e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.999999999999999889e-01,-1.509778488250023126e-03,-6.868565867361627053e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,2.999999999999999889e-01,-2.174831659175554318e-03,-1.055270854700826946e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,2.999999999999999889e-01,-2.738092819617681580e-03,-1.411851585953946553e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,2.999999999999999889e-01,-3.163967639919947929e-03,-1.744069429201201143e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,2.999999999999999889e-01,-3.447753468129963628e-03,-2.045397833889960743e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.999999999999999556e-01,2.999999999999999889e-01,-3.602906529189763528e-03,-2.312732975784630163e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,2.999999999999999889e-01,-3.655346031986627178e-03,-2.545638100825211095e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,2.999999999999999889e-01,-3.643730543849179205e-03,-2.746229963729406032e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.999999999999999889e-01,-3.625812212651899086e-03,-2.919255081718600403e-02,0.000000000000000000e+00,0.000000000000000000e+00
