source,target
0,1
0,21
0,22
1,2
1,22
1,23
2,3
2,23
2,24
3,4
3,24
3,25
4,5
4,25
4,26
5,6
5,26
5,27
6,7
6,27
6,28
7,8
7,28
7,29
8,9
8,29
8,30
9,10
9,30
9,31
10,11
10,31
10,32
11,12
11,32
11,33
12,13
12,33
12,34
13,14
13,34
13,35
14,15
14,35
14,36
15,16
15,36
15,37
16,17
16,37
16,38
17,18
17,38
17,39
18,19
18,39
18,40
19,20
19,40
19,41
20,41
21,22
21,42
21,43
22,23
22,43
22,44
23,24
23,44
23,45
24,25
24,45
24,46
25,26
25,46
25,47
26,27
26,47
26,48
27,28
27,48
27,49
28,29
28,49
28,50
29,30
29,50
29,51
30,31
30,51
30,52
31,32
31,52
31,53
32,33
32,53
32,54
33,34
33,54
33,55
34,35
34,55
34,56
35,36
35,56
35,57
36,37
36,57
36,58
37,38
37,58
37,59
38,39
38,59
38,60
39,40
39,60
39,61
40,41
40,61
40,62
41,62
42,43
42,63
42,64
43,44
43,64
43,65
44,45
44,65
44,66
45,46
45,66
45,67
46,47
46,67
46,68
47,48
47,68
47,69
48,49
48,69
48,70
49,50
49,70
49,71
50,51
50,71
50,72
51,52
51,72
51,73
52,53
52,73
52,74
53,54
53,74
53,75
54,55
54,75
54,76
55,56
55,76
55,77
56,57
56,77
56,78
57,58
57,78
57,79
58,59
58,79
58,80
59,60
59,80
59,81
60,61
60,81
60,82
61,62
61,82
61,83
62,83
63,64
63,84
63,85
64,65
64,85
64,86
65,66
65,86
65,87
66,67
66,87
66,88
67,68
67,88
67,89
68,69
68,89
68,90
69,70
69,90
69,91
70,71
70,91
70,92
71,72
71,92
71,93
72,73
72,93
72,94
73,74
73,94
73,95
74,75
74,95
74,96
75,76
75,96
75,97
76,77
76,97
76,98
77,78
77,98
77,99
78,79
78,99
78,100
79,80
79,100
79,101
80,81
80,101
80,102
81,82
81,102
81,103
82,83
82,103
82,104
83,104
84,85
84,105
84,106
85,86
85,106
85,107
86,87
86,107
86,108
87,88
87,108
87,109
88,89
88,109
88,110
89,90
89,110
89,111
90,91
90,111
90,112
91,92
91,112
91,113
92,93
92,113
92,114
93,94
93,114
93,115
94,95
94,115
94,116
95,96
95,116
95,117
96,97
96,117
96,118
97,98
97,118
97,119
98,99
98,119
98,120
99,100
99,120
99,121
100,101
100,121
100,122
101,102
101,122
101,123
102,103
102,123
102,124
103,104
103,124
103,125
104,125
105,106
106,107
107,108
108,109
109,110
110,111
111,112
112,113
113,114
114,115
115,116
116,117
117,118
118,119
119,120
120,121
121,122
122,123
123,124
124,125
