X,Y,UX,UY,BOUNDARY,FORCE
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-02,0.000000000000000000e+00,-1.372967411716253736e-02,-1.467804913975982554e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00,-2.312288389330005231e-02,-2.627852064305627455e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.875000000000000000e-01,0.000000000000000000e+00,-3.024051071157730919e-02,-3.746654163574903579e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,-3.576622864203162638e-02,-4.845109404953094889e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.125000000000000000e-01,0.000000000000000000e+00,-4.005528405077369430e-02,-5.921386542117903357e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00,-4.333369457525447499e-02,-6.969991476934507546e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.375000000000000000e-01,0.000000000000000000e+00,-4.576714491963207454e-02,-7.985005061581862407e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,-4.749115009939611221e-02,-8.961010404351348047e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.625000000000000000e-01,0.000000000000000000e+00,-4.862600690956015576e-02,-9.893537272852677422e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00,-4.928482908304893800e-02,-1.077941147414035600e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.875000000000000000e-01,0.000000000000000000e+00,-4.957798338113270781e-02,-1.161713949420938585e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,-4.961515858503922488e-02,-1.240740525064459726e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.125000000000000000e-01,0.000000000000000000e+00,-4.950508189771154338e-02,-1.315374372120160507e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00,-4.935166823818550041e-02,-1.386342359969441052e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.375000000000000000e-01,0.000000000000000000e+00,-4.924313958898767635e-02,-1.454835788433042898e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,-4.922224353770247168e-02,-1.522435477804706672e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.060606060606060774e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-02,6.060606060606060774e-02,-7.296298417887062300e-03,-1.085474038514781803e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e-01,6.060606060606060774e-02,-1.504930897022099985e-02,-2.313841744609133194e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.875000000000000000e-01,6.060606060606060774e-02,-2.148746261719863132e-02,-3.496101700987226668e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,6.060606060606060774e-02,-2.674079720139254518e-02,-4.645894165330450437e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.125000000000000000e-01,6.060606060606060774e-02,-3.097935281251794695e-02,-5.764762750908695998e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.750000000000000000e-01,6.060606060606060774e-02,-3.434713035127850284e-02,-6.849381883527946857e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.375000000000000000e-01,6.060606060606060774e-02,-3.696635990582419068e-02,-7.895049354530227215e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,6.060606060606060774e-02,-3.894466750798791094e-02,-8.897024445652998437e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.625000000000000000e-01,6.060606060606060774e-02,-4.038044546058932455e-02,-9.851204597855613143e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-01,6.060606060606060774e-02,-4.136637203452811495e-02,-1.075460249901945414e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.875000000000000000e-01,6.060606060606060774e-02,-4.199144843040530928e-02,-1.160580452134617746e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,6.060606060606060774e-02,-4.234181932742563798e-02,-1.240551300188482697e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.125000000000000000e-01,6.060606060606060774e-02,-4.250050683710147187e-02,-1.315725083017775243e-01,0.000000000000000000e+00,0.000000000000000000e+00
