X,Y,UX,UY,BOUNDARY,FORCE
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-2.817709418257880859e-03,-3.370354846962291418e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,-4.590059119421661428e-03,-6.147196384129037343e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,0.000000000000000000e+00,-5.761886978171246176e-03,-8.793308946548195407e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,0.000000000000000000e+00,-6.509236583371323312e-03,-1.129951057129626769e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,-6.943455278469208916e-03,-1.363094869935876224e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,-7.151147475883392647e-03,-1.576263639899227673e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.999999999999999556e-01,0.000000000000000000e+00,-7.208240297241757556e-03,-1.768620968389210055e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,0.000000000000000000e+00,-7.185188044187284379e-03,-1.941527244241661801e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,-7.146235756313635765e-03,-2.099264872278293684e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,-7.137743798198238621e-03,-2.249350028739477772e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,-1.336227339345697753e-03,-2.613673049696907565e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.000000000000000056e-01,-2.710655925117779440e-03,-5.580325300273523623e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,1.000000000000000056e-01,-3.755507872613807110e-03,-8.401509357681297488e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,1.000000000000000056e-01,-4.504354223339843491e-03,-1.104615814697774284e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,1.000000000000000056e-01,-5.008924125025036866e-03,-1.348482953608426578e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,1.000000000000000056e-01,-5.320503615472173958e-03,-1.569602892415189119e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.999999999999999556e-01,1.000000000000000056e-01,-5.488472121013555395e-03,-1.767285203004548971e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,1.000000000000000056e-01,-5.560201168297372425e-03,-1.942887801636080172e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,1.000000000000000056e-01,-5.581030589200146851e-03,-2.100592823062956763e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000056e-01,-5.594432443009414620e-03,-2.248500832927938578e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000111e-01,-8.495179512452025530e-04,-2.472728716179131182e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.000000000000000111e-01,-1.698980356732401106e-03,-5.293281121377907232e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,2.000000000000000111e-01,-2.474612640267498474e-03,-8.153286951813956684e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,2.000000000000000111e-01,-3.089647004337400717e-03,-1.087129281850886947e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,2.000000000000000111e-01,-3.537738212269576823e-03,-1.338335098755815203e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,2.000000000000000111e-01,-3.835950375665032365e-03,-1.565701407349735091e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.999999999999999556e-01,2.000000000000000111e-01,-4.010273266192312946e-03,-1.767956375220968573e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,2.000000000000000111e-01,-4.091570072125511395e-03,-1.945855494352684290e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,2.000000000000000111e-01,-4.115799021306021897e-03,-2.102607626009730946e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000111e-01,-4.128563398294856322e-03,-2.244630073333101286e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.999999999999999889e-01,-6.083094419523282694e-04,-2.510464216485606363e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.999999999999999889e-01,-1.165918749616398414e-03,-5.275715780278473176e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,2.999999999999999889e-01,-1.680413727417250308e-03,-8.105654628542742490e-03,0.000000000000000000e+00,0.000000000000000000e+00
