X,Y,UX,UY,BOUNDARY,FORCE
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.030303030303030387e-02,0.000000000000000000e+00,-7.096717458105551712e-02,-6.341391251940299567e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.060606060606060774e-02,0.000000000000000000e+00,-1.258590779762598089e-01,-1.043385645133015210e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.090909090909091161e-02,0.000000000000000000e+00,-1.747678342402826934e-01,-1.404164622285521413e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.212121212121212155e-01,0.000000000000000000e+00,-2.205756065428656765e-01,-1.750605672268850943e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.515151515151515194e-01,0.000000000000000000e+00,-2.644511444772624786e-01,-2.096953605913367269e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.818181818181818232e-01,0.000000000000000000e+00,-3.069305877197036070e-01,-2.451054716474120598e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.121212121212121271e-01,0.000000000000000000e+00,-3.482748083689090057e-01,-2.817688935325250443e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.424242424242424310e-01,0.000000000000000000e+00,-3.886137601558393162e-01,-3.199889907489755769e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.727272727272727071e-01,0.000000000000000000e+00,-4.280111114791623761e-01,-3.599605108360486860e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.030303030303030387e-01,0.000000000000000000e+00,-4.664953460133741681e-01,-4.018067862309326332e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.333333333333333148e-01,0.000000000000000000e+00,-5.040756476456820234e-01,-4.456022428390585821e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.636363636363636465e-01,0.000000000000000000e+00,-5.407504466336996440e-01,-4.913867152926238435e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.939393939393939226e-01,0.000000000000000000e+00,-5.765122242869095137e-01,-5.391749177864828546e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.242424242424242542e-01,0.000000000000000000e+00,-6.113503077839232969e-01,-5.889629192799136215e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.545454545454545303e-01,0.000000000000000000e+00,-6.452525320435127387e-01,-6.407326939033454183e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.848484848484848619e-01,0.000000000000000000e+00,-6.782062358623481835e-01,-6.944553910468346247e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.151515151515151381e-01,0.000000000000000000e+00,-7.101988541457441295e-01,-7.500937264370458601e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.454545454545454142e-01,0.000000000000000000e+00,-7.412182602957614330e-01,-8.076037522588318529e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.757575757575758013e-01,0.000000000000000000e+00,-7.712529536052136203e-01,-8.669361775250840063e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.060606060606060774e-01,0.000000000000000000e+00,-8.002921524448203261e-01,-9.280373558037654513e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.363636363636363535e-01,0.000000000000000000e+00,-8.283258335663437055e-01,-9.908500228466954329e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.666666666666666297e-01,0.000000000000000000e+00,-8.553447450476484581e-01,-1.055313844043578309e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.969696969696970168e-01,0.000000000000000000e+00,-8.813404121101945377e-01,-1.121365816495546230e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.272727272727272929e-01,0.000000000000000000e+00,-9.063051494811492637e-01,-1.188940560195535179e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.575757575757575690e-01,0.000000000000000000e+00,-9.302320901217833171e-01,-1.257970525680664586e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.878787878787878451e-01,0.000000000000000000e+00,-9.531152373710738424e-01,-1.328386140554298489e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.181818181818182323e-01,0.000000000000000000e+00,-9.749495454533795291e-01,-1.400115913794691247e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.484848484848485084e-01,0.000000000000000000e+00,-9.957310315993210814e-01,-1.473086514322933249e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.787878787878787845e-01,0.000000000000000000e+00,-1.015456921539812818e+00,-1.547222838576935100e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.090909090909090606e-01,0.000000000000000000e+00,-1.034125828720449336e+00,-1.622448080591654795e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.393939393939394478e-01,0.000000000000000000e+00,-1.051737966154268733e+00,-1.698683817128063822e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.696969696969697239e-01,0.000000000000000000e+00,-1.068295388326597983e+00,-1.775850119563617158e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,-1.083802258958525000e+00,-1.853865703414025567e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.030303030303030276e+00,0.000000000000000000e+00,-1.098265138728094836e+00,-1.932648125374203607e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.060606060606060552e+00,0.000000000000000000e+00,-1.111693285272805642e+00,-2.012114036534861761e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.090909090909090828e+00,0.000000000000000000e+00,-1.124098956015151307e+00,-2.092179498857807740e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.121212121212121104e+00,0.000000000000000000e+00,-1.135497702654276297e+00,-2.172760370008056441e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.151515151515151603e+00,0.000000000000000000e+00,-1.145908644665202258e+00,-2.253772759203591214e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.181818181818181879e+00,0.000000000000000000e+00,-1.155354707975461803e+00,-2.335133553848923071e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.212121212121212155e+00,0.000000000000000000e+00,-1.163862814291275471e+00,-2.416761013402765279e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.242424242424242431e+00,0.000000000000000000e+00,-1.171464006466071739e+00,-2.498575423276556240e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.272727272727272707e+00,0.000000000000000000e+00,-1.178193495975509153e+00,-2.580499797702263898e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.303030303030302983e+00,0.000000000000000000e+00,-1.184090620090489709e+00,-2.662460616628078203e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.333333333333333259e+00,0.000000000000000000e+00,-1.189198698785620678e+00,-2.744388578029690606e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.363636363636363535e+00,0.000000000000000000e+00,-1.193564784788871291e+00,-2.826219343832273356e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.393939393939394034e+00,0.000000000000000000e+00,-1.197239304398503013e+00,-2.907894255220069724e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.424242424242424310e+00,0.000000000000000000e+00,-1.200275591609282877e+00,-2.989360991770170894e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.454545454545454586e+00,0.000000000000000000e+00,-1.202729323451167787e+00,-3.070574148870769182e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.484848484848484862e+00,0.000000000000000000e+00,-1.204657869905478407e+00,-3.151495709509250620e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.515151515151515138e+00,0.000000000000000000e+00,-1.206119576896367507e+00,-3.232095389894409809e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.545454545454545414e+00,0.000000000000000000e+00,-1.207173005164806634e+00,-3.312350843537417600e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.575757575757575690e+00,0.000000000000000000e+00,-1.207876150795533343e+00,-3.392247715219632198e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.606060606060605966e+00,0.000000000000000000e+00,-1.208285674273465116e+00,-3.471779544397618711e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.636363636363636465e+00,0.000000000000000000e+00,-1.208456163745125433e+00,-3.550947526499462992e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666741e+00,0.000000000000000000e+00,-1.208439454320500595e+00,-3.629760149481785714e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.696969696969697017e+00,0.000000000000000000e+00,-1.208284018575980223e+00,-3.708232730986177561e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.727272727272727293e+00,0.000000000000000000e+00,-1.208034433767408711e+00,-3.786386887385130517e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.757575757575757569e+00,0.000000000000000000e+00,-1.207730918322892366e+00,-3.864249968703657778e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.787878787878787845e+00,0.000000000000000000e+00,-1.207408913127835159e+00,-3.941854491001121286e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.818181818181818121e+00,0.000000000000000000e+00,-1.207098660162364112e+00,-4.019237586577000698e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.848484848484848397e+00,0.000000000000000000e+00,-1.206824699074054763e+00,-4.096440463580405478e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.878787878787878896e+00,0.000000000000000000e+00,-1.206605156643062449e+00,-4.173507798682859260e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.909090909090909172e+00,0.000000000000000000e+00,-1.206450639294385008e+00,-4.250486824135493613e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.939393939393939448e+00,0.000000000000000000e+00,-1.206362449897937283e+00,-4.327425463307284836e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.969696969696969724e+00,0.000000000000000000e+00,-1.206329739383486421e+00,-4.404367785907155053e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,-1.206325518755537285e+00,-4.481342675994919311e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.030303030303030387e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.030303030303030387e-02,3.030303030303030387e-02,-4.537315819211964335e-02,-4.111828081299605947e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.060606060606060774e-02,3.030303030303030387e-02,-9.617308778970923289e-02,-8.328809977291444511e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.090909090909091161e-02,3.030303030303030387e-02,-1.436814512427389001e-01,-1.206901757373998185e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.212121212121212155e-01,3.030303030303030387e-02,-1.884664256673520000e-01,-1.562559635943502889e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.515151515151515194e-01,3.030303030303030387e-02,-2.311885922842110419e-01,-1.915716704295595818e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.818181818181818232e-01,3.030303030303030387e-02,-2.722912521968759991e-01,-2.275283940406031269e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.121212121212121271e-01,3.030303030303030387e-02,-3.120557674785437996e-01,-2.646631827980328588e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.424242424242424310e-01,3.030303030303030387e-02,-3.506581357278359401e-01,-3.033124814933355617e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.727272727272727071e-01,3.030303030303030387e-02,-3.882073619525499009e-01,-3.436900948504522657e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.030303030303030387e-01,3.030303030303030387e-02,-4.247699076087866898e-01,-3.859306151785990013e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.333333333333333148e-01,3.030303030303030387e-02,-4.603850940024205585e-01,-4.301152357718565633e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.636363636363636465e-01,3.030303030303030387e-02,-4.950748460682326546e-01,-4.762878832173613186e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.939393939393939226e-01,3.030303030303030387e-02,-5.288499155313235445e-01,-5.244657260533552856e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.242424242424242542e-01,3.030303030303030387e-02,-5.617138995911310495e-01,-5.746462647750135710e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.545454545454545303e-01,3.030303030303030387e-02,-5.936658625584786408e-01,-6.268122584383278850e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.848484848484848619e-01,3.030303030303030387e-02,-6.247020598242853939e-01,-6.809352310801323194e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.151515151515151381e-01,3.030303030303030387e-02,-6.548170774544201933e-01,-7.369780140369287524e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.454545454545454142e-01,3.030303030303030387e-02,-6.840045874920877012e-01,-7.948966137137053467e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.757575757575758013e-01,3.030303030303030387e-02,-7.122578492744263690e-01,-8.546415947644722122e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.060606060606060774e-01,3.030303030303030387e-02,-7.395700433493385129e-01,-9.161591073475932046e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.363636363636363535e-01,3.030303030303030387e-02,-7.659344966657671838e-01,-9.793916483435803899e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.666666666666666297e-01,3.030303030303030387e-02,-7.913448395325175522e-01,-1.044278621261305551e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.969696969696970168e-01,3.030303030303030387e-02,-8.157951227570825470e-01,-1.110756742852099466e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.272727272727272929e-01,3.030303030303030387e-02,-8.392799151703784766e-01,-1.178760333142023331e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.575757575757575690e-01,3.030303030303030387e-02,-8.617943960398370962e-01,-1.248221517824170457e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.878787878787878451e-01,3.030303030303030387e-02,-8.833344527979554162e-01,-1.319070366567737240e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.181818181818182323e-01,3.030303030303030387e-02,-9.038967914969706641e-01,-1.391234987054793093e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.484848484848485084e-01,3.030303030303030387e-02,-9.234790650625389619e-01,-1.464641591951617805e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.787878787878787845e-01,3.030303030303030387e-02,-9.420800225005508954e-01,-1.539214554209776820e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.090909090909090606e-01,3.030303030303030387e-02,-9.596996805322672852e-01,-1.614876464812215140e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.393939393939394478e-01,3.030303030303030387e-02,-9.763395175711686580e-01,-1.691548206124261045e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.696969696969697239e-01,3.030303030303030387e-02,-9.920026884307988624e-01,-1.769149053203596500e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.030303030303030387e-02,-1.006694256622289618e+00,-1.847596814612822769e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.030303030303030276e+00,3.030303030303030387e-02,-1.020421439550421638e+00,-1.926808023325055297e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.060606060606060552e+00,3.030303030303030387e-02,-1.033193860363987415e+00,-2.006698187094320129e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.090909090909090828e+00,3.030303030303030387e-02,-1.045023798702698681e+00,-2.087182106074190635e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.121212121212121104e+00,3.030303030303030387e-02,-1.055926431176148261e+00,-2.168174263429632820e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.151515151515151603e+00,3.030303030303030387e-02,-1.065920051198515628e+00,-2.249589292148835629e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.181818181818181879e+00,3.030303030303030387e-02,-1.075026256889460408e+00,-2.331342518212102366e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.212121212121212155e+00,3.030303030303030387e-02,-1.083270095249326603e+00,-2.413350576747300469e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.242424242424242431e+00,3.030303030303030387e-02,-1.090680150837078921e+00,-2.495532093881022817e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.272727272727272707e+00,3.030303030303030387e-02,-1.097288567822704231e+00,-2.577808422821626699e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.303030303030302983e+00,3.030303030303030387e-02,-1.103130995628774480e+00,-2.660104418481316291e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.333333333333333259e+00,3.030303030303030387e-02,-1.108246450458452159e+00,-2.742349230909119751e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.363636363636363535e+00,3.030303030303030387e-02,-1.112677087819883726e+00,-2.824477094260392729e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.393939393939394034e+00,3.030303030303030387e-02,-1.116467884628966400e+00,-2.906428085298295105e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.424242424242424310e+00,3.030303030303030387e-02,-1.119666233463544991e+00,-2.988148823847259106e+00,0.000000000000000000e+00,0.000000000000000000e+00
