X,Y,UX,UY
3.600000000000000000e+01,1.200000000000000000e+01,-8.450111705953763930e-03,-5.877364846269018950e-02
4.000000000000000000e+01,1.200000000000000000e+01,-8.404608722251715944e-03,-6.329048618201472964e-02
4.400000000000000000e+01,1.200000000000000000e+01,-8.260430133063980870e-03,-6.730146925919602841e-02
4.800000000000000000e+01,1.200000000000000000e+01,-8.050046890590916923e-03,-7.084837873130173103e-02
5.200000000000000000e+01,1.200000000000000000e+01,-7.800617929616727488e-03,-7.398054369244647099e-02
5.600000000000000000e+01,1.200000000000000000e+01,-7.534139737388801522e-03,-7.675127583945783039e-02
6.000000000000000000e+01,1.200000000000000000e+01,-7.267931907621647154e-03,-7.921518322927442735e-02
6.400000000000000000e+01,1.200000000000000000e+01,-7.015256438712679128e-03,-8.142630345399270997e-02
6.800000000000000000e+01,1.200000000000000000e+01,-6.785953758417287256e-03,-8.343692288055119810e-02
7.200000000000000000e+01,1.200000000000000000e+01,-6.587034007268844672e-03,-8.529691815589621195e-02
7.600000000000000000e+01,1.200000000000000000e+01,-6.423191185371806416e-03,-8.705344921440846817e-02
8.000000000000000000e+01,1.200000000000000000e+01,-6.297212805363047901e-03,-8.875083614313204750e-02
8.400000000000000000e+01,1.200000000000000000e+01,-6.210235753681126770e-03,-9.043046137621961467e-02
8.800000000000000000e+01,1.200000000000000000e+01,-6.161738052353238869e-03,-9.213056386896280314e-02
9.200000000000000000e+01,1.200000000000000000e+01,-6.149031247700767998e-03,-9.388587139681851823e-02
9.600000000000000000e+01,1.200000000000000000e+01,-6.165789208445498354e-03,-9.572725504424128840e-02
1.000000000000000000e+02,1.200000000000000000e+01,-6.198765792984808204e-03,-9.768226856965624150e-02
0.000000000000000000e+00,1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.600000000000000000e+01,-1.206663596754046315e-03,-6.551171836071018571e-03
8.000000000000000000e+00,1.600000000000000000e+01,-2.235291061128674966e-03,-1.368265779345789572e-02
1.200000000000000000e+01,1.600000000000000000e+01,-3.153111908040773757e-03,-2.107868511840234327e-02
1.600000000000000000e+01,1.600000000000000000e+01,-3.949852841835695128e-03,-2.844223856069311163e-02
2.000000000000000000e+01,1.600000000000000000e+01,-4.590804190454897925e-03,-3.554397290094390982e-02
2.400000000000000000e+01,1.600000000000000000e+01,-5.056998846715008052e-03,-4.223144016614058943e-02
2.800000000000000000e+01,1.600000000000000000e+01,-5.353943218242961793e-03,-4.841335617067116931e-02
3.200000000000000000e+01,1.600000000000000000e+01,-5.503149525383418776e-03,-5.404280427739467652e-02
3.600000000000000000e+01,1.600000000000000000e+01,-5.533493088031762874e-03,-5.910712472787311295e-02
4.000000000000000000e+01,1.600000000000000000e+01,-5.474998045993141604e-03,-6.362000478774332279e-02
4.400000000000000000e+01,1.600000000000000000e+01,-5.355136176717074058e-03,-6.761421540596132540e-02
4.800000000000000000e+01,1.600000000000000000e+01,-5.197120230939052989e-03,-7.113514565006848200e-02
5.200000000000000000e+01,1.600000000000000000e+01,-5.019522535761819677e-03,-7.423550073253673554e-02
5.600000000000000000e+01,1.600000000000000000e+01,-4.836631096330422895e-03,-7.697129238002646534e-02
6.000000000000000000e+01,1.600000000000000000e+01,-4.659126878272556657e-03,-7.939902853899748203e-02
6.400000000000000000e+01,1.600000000000000000e+01,-4.494832856470174116e-03,-8.157389887653959670e-02
6.800000000000000000e+01,1.600000000000000000e+01,-4.349408245616023967e-03,-8.354872626122968049e-02
7.200000000000000000e+01,1.600000000000000000e+01,-4.226935109161193346e-03,-8.537347087572579041e-02
7.600000000000000000e+01,1.600000000000000000e+01,-4.130377631545643219e-03,-8.709510586779266317e-02
8.000000000000000000e+01,1.600000000000000000e+01,-4.061895883052514186e-03,-8.875772083839600368e-02
8.400000000000000000e+01,1.600000000000000000e+01,-4.022970699771843614e-03,-9.040275519527969650e-02
8.800000000000000000e+01,1.600000000000000000e+01,-4.014244322645736662e-03,-9.206933631508787408e-02
9.200000000000000000e+01,1.600000000000000000e+01,-4.034901857724452687e-03,-9.379484295277108752e-02
9.600000000000000000e+01,1.600000000000000000e+01,-4.081323519633021923e-03,-9.561613416499667450e-02
1.000000000000000000e+02,1.600000000000000000e+01,-4.144697561651664551e-03,-9.757262187266764475e-02
0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,2.000000000000000000e+01,-9.316554011483521493e-04,-6.889601157507353919e-03
8.000000000000000000e+00,2.000000000000000000e+01,-1.627664237917985897e-03,-1.416837082926657512e-02
1.200000000000000000e+01,2.000000000000000000e+01,-2.166460403177604410e-03,-2.161230656215679113e-02
1.600000000000000000e+01,2.000000000000000000e+01,-2.578834299314463740e-03,-2.899202660199318160e-02
2.000000000000000000e+01,2.000000000000000000e+01,-2.869080983513758263e-03,-3.610830799331807978e-02
2.400000000000000000e+01,2.000000000000000000e+01,-3.038124185160835135e-03,-4.280983814637875223e-02
2.800000000000000000e+01,2.000000000000000000e+01,-3.096586850482908621e-03,-4.899595216777800216e-02
3.200000000000000000e+01,2.000000000000000000e+01,-3.065291515804419945e-03,-5.461300141294927329e-02
3.600000000000000000e+01,2.000000000000000000e+01,-2.969675826820017146e-03,-5.964705118165265080e-02
4.000000000000000000e+01,2.000000000000000000e+01,-2.834383362609593608e-03,-6.411467165508483168e-02
4.400000000000000000e+01,2.000000000000000000e+01,-2.680033972475690755e-03,-6.805347025472195666e-02
4.800000000000000000e+01,2.000000000000000000e+01,-2.522101240487723602e-03,-7.151385097031350002e-02
5.200000000000000000e+01,2.000000000000000000e+01,-2.371168853787401776e-03,-7.455268804373763047e-02
5.600000000000000000e+01,2.000000000000000000e+01,-2.233852137432176897e-03,-7.722891868431112916e-02
6.000000000000000000e+01,2.000000000000000000e+01,-2.113898218987903237e-03,-7.960072737722974356e-02
6.400000000000000000e+01,2.000000000000000000e+01,-2.013203362793689923e-03,-8.172391930005057370e-02
6.800000000000000000e+01,2.000000000000000000e+01,-1.932641664415074307e-03,-8.365112695040896607e-02
7.200000000000000000e+01,2.000000000000000000e+01,-1.872684210871982963e-03,-8.543157633317514932e-02
7.600000000000000000e+01,2.000000000000000000e+01,-1.833820151170627343e-03,-8.711121974148616776e-02
8.000000000000000000e+01,2.000000000000000000e+01,-1.816788858700881838e-03,-8.873311387823122620e-02
8.400000000000000000e+01,2.000000000000000000e+01,-1.822608170080951794e-03,-9.033799389227313570e-02
8.800000000000000000e+01,2.000000000000000000e+01,-1.852346856000795143e-03,-9.196508721167770406e-02
9.200000000000000000e+01,2.000000000000000000e+01,-1.906552991276265875e-03,-9.365336325767235903e-02
9.600000000000000000e+01,2.000000000000000000e+01,-1.984246156763443212e-03,-9.544369138612432413e-02
1.000000000000000000e+02,2.000000000000000000e+01,-2.081500620219574500e-03,-9.738289420392999551e-02
0.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,2.400000000000000000e+01,-7.465042347722776212e-04,-7.298126221413262990e-03
8.000000000000000000e+00,2.400000000000000000e+01,-1.209918376831310878e-03,-1.482639132861286735e-02
1.200000000000000000e+01,2.400000000000000000e+01,-1.466739422885824772e-03,-2.241133405765956266e-02
1.600000000000000000e+01,2.400000000000000000e+01,-1.566373610222927771e-03,-2.986758362343679835e-02
2.000000000000000000e+01,2.400000000000000000e+01,-1.539585106487621237e-03,-3.702280832789751203e-02
2.400000000000000000e+01,2.400000000000000000e+01,-1.410671284991309692e-03,-4.373537931709831073e-02
2.800000000000000000e+01,2.400000000000000000e+01,-1.206617376907662739e-03,-4.990391854323583676e-02
3.200000000000000000e+01,2.400000000000000000e+01,-9.580185100346823909e-04,-5.547418265619216693e-02
3.600000000000000000e+01,2.400000000000000000e+01,-6.945485425163214904e-04,-6.043626027545690588e-02
4.000000000000000000e+01,2.400000000000000000e+01,-4.403673740863858852e-04,-6.481429441977051842e-02
4.400000000000000000e+01,2.400000000000000000e+01,-2.119963925966397353e-04,-6.865443304254315038e-02
4.800000000000000000e+01,2.400000000000000000e+01,-1.850325933349414813e-05,-7.201460743441703838e-02
5.200000000000000000e+01,2.400000000000000000e+01,1.370206302269109271e-04,-7.495725626211373338e-02
5.600000000000000000e+01,2.400000000000000000e+01,2.555840488691956346e-04,-7.754474967639696237e-02
6.000000000000000000e+01,2.400000000000000000e+01,3.405482581090372692e-04,-7.983682932400369692e-02
6.400000000000000000e+01,2.400000000000000000e+01,3.962287017553639849e-04,-8.188939759282662378e-02
6.800000000000000000e+01,2.400000000000000000e+01,4.268841817144035486e-04,-8.375415287272067189e-02
7.200000000000000000e+01,2.400000000000000000e+01,4.360485864299556177e-04,-8.547873751622189764e-02
7.600000000000000000e+01,2.400000000000000000e+01,4.261395811516128563e-04,-8.710720017271617044e-02
8.000000000000000000e+01,2.400000000000000000e+01,3.982912353849540400e-04,-8.868067594652633001e-02
8.400000000000000000e+01,2.400000000000000000e+01,3.523843615535459111e-04,-9.023827355943440931e-02
8.800000000000000000e+01,2.400000000000000000e+01,2.872755310543989452e-04,-9.181825097452428475e-02
9.200000000000000000e+01,2.400000000000000000e+01,2.012366656159897708e-04,-9.345968589905502555e-02
9.600000000000000000e+01,2.400000000000000000e+01,9.258030843939942607e-05,-9.520503356695801667e-02
1.000000000000000000e+02,2.400000000000000000e+01,-3.970501277837718603e-05,-9.710422711609081881e-02
0.000000000000000000e+00,2.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,2.800000000000000000e+01,-6.239723601682743096e-04,-7.766849435365842484e-03
8.000000000000000000e+00,2.800000000000000000e+01,-9.198717398436345467e-04,-1.562914630483896311e-02
1.200000000000000000e+01,2.800000000000000000e+01,-9.586888478676267684e-04,-2.344089488797872906e-02
1.600000000000000000e+01,2.800000000000000000e+01,-7.977593475394737519e-04,-3.104292433778937585e-02
2.000000000000000000e+01,2.800000000000000000e+01,-4.851361015121046015e-04,-3.828052591018553386e-02
2.400000000000000000e+01,2.800000000000000000e+01,-6.637214657434929092e-05,-4.502006697834082943e-02
2.800000000000000000e+01,2.800000000000000000e+01,4.101095013795696704e-04,-5.116143460138072169e-02
