X,Y,UX,UY
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,-3.124806021692855956e-02,-2.837490611178487485e-02
8.000000000000000000e+00,0.000000000000000000e+00,-5.519900191613254237e-02,-4.805268706146012536e-02
1.200000000000000000e+01,0.000000000000000000e+00,-7.615753618234005762e-02,-6.647992195142270189e-02
1.600000000000000000e+01,0.000000000000000000e+00,-9.534120718315282350e-02,-8.497152857873589704e-02
2.000000000000000000e+01,0.000000000000000000e+00,-1.132428195834172951e-01,-1.040196562601520269e-01
2.400000000000000000e+01,0.000000000000000000e+00,-1.300873129637088732e-01,-1.238646387819549305e-01
2.800000000000000000e+01,0.000000000000000000e+00,-1.459814191451058729e-01,-1.446302790828675466e-01
3.200000000000000000e+01,0.000000000000000000e+00,-1.609737525463045826e-01,-1.663751191192887058e-01
3.600000000000000000e+01,0.000000000000000000e+00,-1.750814054746170079e-01,-1.891169235539528481e-01
4.000000000000000000e+01,0.000000000000000000e+00,-1.883023370576093758e-01,-2.128455680286192031e-01
4.400000000000000000e+01,0.000000000000000000e+00,-2.006212286435167802e-01,-2.375298051795475263e-01
4.800000000000000000e+01,0.000000000000000000e+00,-2.120122085748966934e-01,-2.631202470611016531e-01
5.200000000000000000e+01,0.000000000000000000e+00,-2.224401838648153995e-01,-2.895496565110000642e-01
5.600000000000000000e+01,0.000000000000000000e+00,-2.318618997371827417e-01,-3.167311244385015989e-01
6.000000000000000000e+01,0.000000000000000000e+00,-2.402276970370210152e-01,-3.445545885245523965e-01
6.400000000000000000e+01,0.000000000000000000e+00,-2.474849890907429295e-01,-3.728823287297639566e-01
6.800000000000000000e+01,0.000000000000000000e+00,-2.535845563654632318e-01,-4.015445336471457627e-01
7.200000000000000000e+01,0.000000000000000000e+00,-2.584906794845913125e-01,-4.303367349203087167e-01
7.600000000000000000e+01,0.000000000000000000e+00,-2.621957049781725169e-01,-4.590217697754092607e-01
8.000000000000000000e+01,0.000000000000000000e+00,-2.647386857063026011e-01,-4.873398273242849910e-01
8.400000000000000000e+01,0.000000000000000000e+00,-2.662261154097162463e-01,-5.150309450614585227e-01
8.800000000000000000e+01,0.000000000000000000e+00,-2.668503037306503844e-01,-5.418749764953946224e-01
9.200000000000000000e+01,0.000000000000000000e+00,-2.668970941736355518e-01,-5.677543013734864807e-01
9.600000000000000000e+01,0.000000000000000000e+00,-2.667271208731646914e-01,-5.927416277092332209e-01
1.000000000000000000e+02,0.000000000000000000e+00,-2.666833012448199258e-01,-6.171733779037431589e-01
0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,4.000000000000000000e+00,-1.914418355675849559e-02,-1.872762476781708249e-02
8.000000000000000000e+00,4.000000000000000000e+00,-4.046696193423662130e-02,-3.908339814585875399e-02
1.200000000000000000e+01,4.000000000000000000e+00,-6.009403800876608748e-02,-5.824362909167805913e-02
1.600000000000000000e+01,4.000000000000000000e+00,-7.822825716171145916e-02,-7.730330622249288741e-02
2.000000000000000000e+01,4.000000000000000000e+00,-9.512711369716882193e-02,-9.682078223833792685e-02
2.400000000000000000e+01,4.000000000000000000e+00,-1.109620489340514965e-01,-1.170810520158141466e-01
2.800000000000000000e+01,4.000000000000000000e+00,-1.258387752119855263e-01,-1.382331964898187993e-01
3.200000000000000000e+01,4.000000000000000000e+00,-1.398193962299600357e-01,-1.603504414300802039e-01
3.600000000000000000e+01,4.000000000000000000e+00,-1.529373691310524086e-01,-1.834596257914266892e-01
4.000000000000000000e+01,4.000000000000000000e+00,-1.652068477263342605e-01,-2.075567296606607159e-01
4.400000000000000000e+01,4.000000000000000000e+00,-1.766283557706805341e-01,-2.326150616222900647e-01
4.800000000000000000e+01,4.000000000000000000e+00,-1.871922128597586499e-01,-2.585890065054586850e-01
5.200000000000000000e+01,4.000000000000000000e+00,-1.968807015453608866e-01,-2.854146784929320058e-01
5.600000000000000000e+01,4.000000000000000000e+00,-2.056697177799053367e-01,-3.130081445096091763e-01
6.000000000000000000e+01,4.000000000000000000e+00,-2.135305525138993243e-01,-3.412616673576013282e-01
6.400000000000000000e+01,4.000000000000000000e+00,-2.204324597752839177e-01,-3.700385488093683173e-01
6.800000000000000000e+01,4.000000000000000000e+00,-2.263467093451788648e-01,-3.991676138206822211e-01
7.200000000000000000e+01,4.000000000000000000e+00,-2.312527951997832842e-01,-4.284391520516835916e-01
7.600000000000000000e+01,4.000000000000000000e+00,-2.351472301251144315e-01,-4.576051365590904085e-01
8.000000000000000000e+01,4.000000000000000000e+00,-2.380547710484002266e-01,-4.863875997004538654e-01
8.400000000000000000e+01,4.000000000000000000e+00,-2.400409677642955653e-01,-5.144999504841325511e-01
8.800000000000000000e+01,4.000000000000000000e+00,-2.412238046084291265e-01,-5.416865783014324087e-01
9.200000000000000000e+01,4.000000000000000000e+00,-2.417814053584947109e-01,-5.677861169816189602e-01
