X,Y,UX,UY,BOUNDARY,FORCE,MODULUS
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
1.000000000000000056e-01,0.000000000000000000e+00,-2.295808435129078062e-01,-1.731241922015120949e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
2.000000000000000111e-01,0.000000000000000000e+00,-4.220319233772296119e-01,-3.098110748007172344e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
2.999999999999999889e-01,0.000000000000000000e+00,-6.009348379288889097e-01,-4.657800908788154448e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
4.000000000000000222e-01,0.000000000000000000e+00,-7.702628985538403361e-01,-6.503169108807330678e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
5.000000000000000000e-01,0.000000000000000000e+00,-9.304951882443321942e-01,-8.654331522153657641e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
5.999999999999999778e-01,0.000000000000000000e+00,-1.081341508066378632e+00,-1.110806710762964444e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
6.999999999999999556e-01,0.000000000000000000e+00,-1.222414054120153581e+00,-1.385139717541460147e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
8.000000000000000444e-01,0.000000000000000000e+00,-1.353385067995820368e+00,-1.686685700426241885e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
9.000000000000000222e-01,0.000000000000000000e+00,-1.473999755868673045e+00,-2.013478256366351360e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
1.000000000000000000e+00,0.000000000000000000e+00,-1.584053754048024620e+00,-2.363428640184408458e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
1.100000000000000089e+00,0.000000000000000000e+00,-1.683369554848533456e+00,-2.734359167649523137e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
1.199999999999999956e+00,0.000000000000000000e+00,-1.771783778894249650e+00,-3.124003007404067667e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
1.300000000000000044e+00,0.000000000000000000e+00,-1.849151332356694155e+00,-3.529987222986588069e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
1.399999999999999911e+00,0.000000000000000000e+00,-1.915371170452912608e+00,-3.949812127726745725e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
1.500000000000000000e+00,0.000000000000000000e+00,-1.970436481451964372e+00,-4.380840364782293328e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
1.600000000000000089e+00,0.000000000000000000e+00,-2.014507551664249885e+00,-4.820309938355941348e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
1.699999999999999956e+00,0.000000000000000000e+00,-2.047998567586214680e+00,-5.265384399264199544e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
1.800000000000000044e+00,0.000000000000000000e+00,-2.071661852496137879e+00,-5.713249762475913762e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
1.899999999999999911e+00,0.000000000000000000e+00,-2.086646421377591487e+00,-6.161261960852884911e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
2.000000000000000000e+00,0.000000000000000000e+00,-2.094503277202446334e+00,-6.607142629636799214e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
2.100000000000000089e+00,0.000000000000000000e+00,-2.097141785122408120e+00,-7.049151696607435014e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
2.200000000000000178e+00,0.000000000000000000e+00,-2.096493489087819295e+00,-7.486638261718930210e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
2.299999999999999822e+00,0.000000000000000000e+00,-2.094155238207918490e+00,-7.919880254949370091e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
2.399999999999999911e+00,0.000000000000000000e+00,-2.091240552228198712e+00,-8.349638844292613271e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
2.500000000000000000e+00,0.000000000000000000e+00,-2.088411428988417473e+00,-8.776792771996484888e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
2.600000000000000089e+00,0.000000000000000000e+00,-2.085990381934284876e+00,-9.202134731694506797e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
2.700000000000000178e+00,0.000000000000000000e+00,-2.084080807166274862e+00,-9.626293010265218442e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
2.799999999999999822e+00,0.000000000000000000e+00,-2.082663699774430555e+00,-1.004972466621521576e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
2.899999999999999911e+00,0.000000000000000000e+00,-2.081663879121550487e+00,-1.047274075516502556e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
3.000000000000000000e+00,0.000000000000000000e+00,-2.080990022992912358e+00,-1.089554073011982993e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
3.100000000000000089e+00,0.000000000000000000e+00,-2.080555853907994468e+00,-1.131824491365055607e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
3.200000000000000178e+00,0.000000000000000000e+00,-2.080289273415200757e+00,-1.174092083007580634e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
