source,target
0,1
0,9
0,10
1,2
1,10
1,11
2,3
2,11
2,12
3,4
3,12
3,13
4,5
4,13
4,14
5,6
5,14
5,15
6,7
6,15
6,16
7,8
7,16
7,17
8,17
9,10
9,18
9,19
10,11
10,19
10,20
11,12
11,20
11,21
12,13
12,21
12,22
13,14
13,22
13,23
14,15
14,23
14,24
15,16
15,24
15,25
16,17
16,25
16,26
17,26
18,19
18,27
18,28
19,20
19,28
19,29
20,21
20,29
20,30
21,22
21,30
21,31
22,23
22,31
22,32
23,24
23,32
23,33
24,25
24,33
24,34
25,26
25,34
25,35
26,35
27,28
27,36
27,37
28,29
28,37
28,38
29,30
29,38
29,39
30,31
30,39
30,40
31,32
31,40
31,41
32,33
32,41
32,42
33,34
33,42
33,43
34,35
34,43
34,44
35,44
36,37
36,45
36,46
37,38
37,46
37,47
38,39
38,47
38,48
39,40
39,48
39,49
40,41
40,49
40,50
41,42
41,50
41,51
42,43
42,51
42,52
43,44
43,52
43,53
44,53
45,46
45,54
45,55
46,47
46,55
46,56
47,48
47,56
47,57
48,49
48,57
48,58
49,50
49,58
49,59
50,51
50,59
50,60
51,52
51,60
51,61
52,53
52,61
52,62
53,62
54,55
54,63
54,64
55,56
55,64
55,65
56,57
56,65
56,66
57,58
57,66
57,67
58,59
58,67
58,68
59,60
59,68
59,69
60,61
60,69
60,70
61,62
61,70
61,71
62,71
63,64
63,72
63,73
64,65
64,73
64,74
65,66
65,74
65,75
66,67
66,75
66,76
67,68
67,76
67,77
68,69
68,77
68,78
69,70
69,78
69,79
70,71
70,79
70,80
71,80
72,73
72,81
72,82
73,74
73,82
73,83
74,75
74,83
74,84
75,76
75,84
75,85
76,77
76,85
76,86
77,78
77,86
77,87
78,79
78,87
78,88
79,80
79,88
79,89
80,89
81,82
81,90
81,91
82,83
82,91
82,92
83,84
83,92
83,93
84,85
84,93
84,94
85,86
85,94
85,95
86,87
86,95
86,96
87,88
87,96
87,97
88,89
88,97
88,98
89,98
90,91
90,99
90,100
91,92
91,100
91,101
92,93
92,101
92,102
93,94
93,102
93,103
94,95
94,103
94,104
95,96
95,104
95,105
96,97
96,105
96,106
97,98
97,106
97,107
98,107
99,100
99,108
99,109
100,101
100,109
100,110
101,102
101,110
101,111
102,103
102,111
102,112
103,104
103,112
103,113
104,105
104,113
104,114
105,106
105,114
105,115
106,107
106,115
106,116
107,116
108,109
108,117
108,118
109,110
109,118
109,119
110,111
110,119
110,120
111,112
111,120
111,121
112,113
112,121
112,122
113,114
113,122
113,123
114,115
114,123
114,124
115,116
115,124
115,125
116,125
117,118
117,126
117,127
118,119
118,127
118,128
119,120
119,128
119,129
120,121
120,129
120,130
121,122
121,130
121,131
122,123
122,131
122,132
123,124
123,132
123,133
124,125
124,133
124,134
125,134
126,127
126,135
126,136
127,128
127,136
127,137
128,129
128,137
128,138
129,130
129,138
129,139
130,131
130,139
130,140
131,132
131,140
131,141
132,133
132,141
132,142
133,134
133,142
133,143
134,143
135,136
135,144
135,145
136,137
136,145
136,146
137,138
137,146
137,147
138,139
138,147
138,148
139,140
139,148
139,149
140,141
140,149
140,150
141,142
141,150
141,151
142,143
142,151
142,152
143,152
144,145
145,146
146,147
147,148
148,149
149,150
150,151
151,152
