X,Y,UX,UY,BOUNDARY,FORCE,MODULUS
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
1.250000000000000000e-01,0.000000000000000000e+00,-1.071309043370083022e-02,-1.330389092904551117e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
2.500000000000000000e-01,0.000000000000000000e+00,-1.721150715374263063e-02,-2.472526113644594320e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
3.750000000000000000e-01,0.000000000000000000e+00,-2.120286807232162757e-02,-3.577626603587195225e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
5.000000000000000000e-01,0.000000000000000000e+00,-2.343984881151030958e-02,-4.624797234691799958e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
6.250000000000000000e-01,0.000000000000000000e+00,-2.446529529320979127e-02,-5.591571990020133276e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
7.500000000000000000e-01,0.000000000000000000e+00,-2.474179782890428489e-02,-6.468508181817417269e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
8.750000000000000000e-01,0.000000000000000000e+00,-2.468894111575549097e-02,-7.263588487706937324e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
1.000000000000000000e+00,0.000000000000000000e+00,-2.466479360775607546e-02,-8.006231061118557202e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
0.000000000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
1.250000000000000000e-01,1.250000000000000000e-01,-4.706800999433688286e-03,-1.051589112235763214e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
2.500000000000000000e-01,1.250000000000000000e-01,-9.437721174613991279e-03,-2.275273162171604843e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
3.750000000000000000e-01,1.250000000000000000e-01,-1.280644427445401003e-02,-3.454369338376234166e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
5.000000000000000000e-01,1.250000000000000000e-01,-1.498934288024099566e-02,-4.557958650006010276e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
6.250000000000000000e-01,1.250000000000000000e-01,-1.625039690371477691e-02,-5.564810521311202435e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
7.500000000000000000e-01,1.250000000000000000e-01,-1.685440540694715938e-02,-6.466306357858539466e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
8.750000000000000000e-01,1.250000000000000000e-01,-1.705643581475060552e-02,-7.269681753267970281e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
1.000000000000000000e+00,1.250000000000000000e-01,-1.711763033364277486e-02,-8.003816310318613569e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
0.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
1.250000000000000000e-01,2.500000000000000000e-01,-2.643159893035496640e-03,-1.018147156271659998e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
2.500000000000000000e-01,2.500000000000000000e-01,-5.133585309151165142e-03,-2.198465951437721458e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
3.750000000000000000e-01,2.500000000000000000e-01,-7.254027203007442151e-03,-3.399858270448566366e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
5.000000000000000000e-01,2.500000000000000000e-01,-8.738725020200037094e-03,-4.533962216037480675e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
6.250000000000000000e-01,2.500000000000000000e-01,-9.628180479588953691e-03,-5.566520844166931992e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
7.500000000000000000e-01,2.500000000000000000e-01,-1.004221955529936011e-02,-6.484497753175469392e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
8.750000000000000000e-01,2.500000000000000000e-01,-1.013069738494562326e-02,-7.289850844930201301e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
1.000000000000000000e+00,2.500000000000000000e-01,-1.009680835892221538e-02,-7.998583011660102826e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
0.000000000000000000e+00,3.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
1.250000000000000000e-01,3.750000000000000000e-01,-1.531738948383817162e-03,-1.060614692918930221e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
2.500000000000000000e-01,3.750000000000000000e-01,-2.662966566624003911e-03,-2.240963484646925699e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
3.750000000000000000e-01,3.750000000000000000e-01,-3.514782198380199136e-03,-3.442635074825327324e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
5.000000000000000000e-01,3.750000000000000000e-01,-4.062007784408033610e-03,-4.587397453728311175e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
6.250000000000000000e-01,3.750000000000000000e-01,-4.293939765604977941e-03,-5.630197258143736921e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
7.500000000000000000e-01,3.750000000000000000e-01,-4.261180606977476790e-03,-6.552545940946648273e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
8.750000000000000000e-01,3.750000000000000000e-01,-4.044628213457246435e-03,-7.350083356872069706e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
1.000000000000000000e+00,3.750000000000000000e-01,-3.775483397959917241e-03,-8.023927006178847854e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
1.250000000000000000e-01,5.000000000000000000e-01,-7.885720732792683664e-04,-1.142540918757192075e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
2.500000000000000000e-01,5.000000000000000000e-01,-9.685045483508375247e-04,-2.363105020714363971e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
3.750000000000000000e-01,5.000000000000000000e-01,-7.789035103486733214e-04,-3.580889432606029765e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
5.000000000000000000e-01,5.000000000000000000e-01,-3.766575533695853116e-04,-4.730388447817740483e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
6.250000000000000000e-01,5.000000000000000000e-01,1.457988175289088163e-04,-5.771502667891462851e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
7.500000000000000000e-01,5.000000000000000000e-01,7.310374066501567182e-04,-6.686163523091234739e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
8.750000000000000000e-01,5.000000000000000000e-01,1.338244473267984199e-03,-7.467685596216706856e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
1.000000000000000000e+00,5.000000000000000000e-01,1.919161299927219302e-03,-8.107815080725333523e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
0.000000000000000000e+00,6.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
1.250000000000000000e-01,6.250000000000000000e-01,-2.100190976394289140e-04,-1.257035056730055993e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
2.500000000000000000e-01,6.250000000000000000e-01,4.029685575531740077e-04,-2.552922908389945386e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
3.750000000000000000e-01,6.250000000000000000e-01,1.513974776890643142e-03,-3.808122280723546388e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
5.000000000000000000e-01,6.250000000000000000e-01,2.819918620102477430e-03,-4.965609019472155827e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
6.250000000000000000e-01,6.250000000000000000e-01,4.108253258709847026e-03,-5.996543594529277904e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
7.500000000000000000e-01,6.250000000000000000e-01,5.272071049666563099e-03,-6.892286323816884663e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
8.750000000000000000e-01,6.250000000000000000e-01,6.291834549466133672e-03,-7.651552648595641437e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
1.000000000000000000e+00,6.250000000000000000e-01,7.206370759053212782e-03,-8.265993599873644460e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
0.000000000000000000e+00,7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04
