X,Y,UX,UY,BOUNDARY,FORCE,MODULUS
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
5.000000000000000278e-02,0.000000000000000000e+00,-1.348444074421500660e-01,-1.116134675739654525e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.000000000000000056e-01,0.000000000000000000e+00,-2.433362280559098478e-01,-1.842928791832488256e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.499999999999999944e-01,0.000000000000000000e+00,-3.431467449816451576e-01,-2.525418311112994085e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
2.000000000000000111e-01,0.000000000000000000e+00,-4.387123535908268313e-01,-3.233399467239511660e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
2.500000000000000000e-01,0.000000000000000000e+00,-5.315100607618074013e-01,-3.995171546735248325e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
2.999999999999999889e-01,0.000000000000000000e+00,-6.220251533789193932e-01,-4.824924215311807152e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
3.499999999999999778e-01,0.000000000000000000e+00,-7.103696632577509718e-01,-5.730007157054674005e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
4.000000000000000222e-01,0.000000000000000000e+00,-7.965148232151103569e-01,-6.713940570205015890e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
4.500000000000000111e-01,0.000000000000000000e+00,-8.803848316639967253e-01,-7.777950162577131898e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
5.000000000000000000e-01,0.000000000000000000e+00,-9.618952802003319924e-01,-8.921835473706506425e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
5.500000000000000444e-01,0.000000000000000000e+00,-1.040968207913909760e+00,-1.014449051002285218e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
5.999999999999999778e-01,0.000000000000000000e+00,-1.117537001792259010e+00,-1.144422719454667892e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
6.500000000000000222e-01,0.000000000000000000e+00,-1.191546897903101643e+00,-1.281898074224160133e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
6.999999999999999556e-01,0.000000000000000000e+00,-1.262953678263167623e+00,-1.426644158177883481e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
7.500000000000000000e-01,0.000000000000000000e+00,-1.331721754937936320e+00,-1.578414027579539081e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
8.000000000000000444e-01,0.000000000000000000e+00,-1.397822185174963261e+00,-1.736950170436165619e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
8.499999999999999778e-01,0.000000000000000000e+00,-1.461230854634163245e+00,-1.901987877958269513e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
9.000000000000000222e-01,0.000000000000000000e+00,-1.521926920130987515e+00,-2.073257229032146043e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
9.499999999999999556e-01,0.000000000000000000e+00,-1.579891537107986910e+00,-2.250484116584524408e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.000000000000000000e+00,0.000000000000000000e+00,-1.635106871510313420e+00,-2.433390596812005757e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
