X,Y,UX,UY,BOUNDARY,FORCE,MODULUS
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
2.500000000000000139e-02,0.000000000000000000e+00,-1.136458804610376719e-03,-1.134504878113964726e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
5.000000000000000278e-02,0.000000000000000000e+00,-1.958781080562678207e-03,-1.958639876998662793e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
7.499999999999999722e-02,0.000000000000000000e+00,-2.633123709468836778e-03,-2.721632806272650511e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
1.000000000000000056e-01,0.000000000000000000e+00,-3.212293878290615762e-03,-3.458719633042253456e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
1.250000000000000000e-01,0.000000000000000000e+00,-3.721346384340918408e-03,-4.180527973288076724e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
1.499999999999999944e-01,0.000000000000000000e+00,-4.174371367303564805e-03,-4.891513005731244583e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
1.749999999999999889e-01,0.000000000000000000e+00,-4.580236537470857433e-03,-5.593701301435641607e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
2.000000000000000111e-01,0.000000000000000000e+00,-4.945036715610011228e-03,-6.287932063626327714e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
2.250000000000000056e-01,0.000000000000000000e+00,-5.273267675822508084e-03,-6.974403893576877969e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
2.500000000000000000e-01,0.000000000000000000e+00,-5.568437413939395647e-03,-7.652955700207878138e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
2.750000000000000222e-01,0.000000000000000000e+00,-5.833407537186387909e-03,-8.323223680402495883e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
2.999999999999999889e-01,0.000000000000000000e+00,-6.070596217093526467e-03,-8.984733652874188695e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
3.250000000000000111e-01,0.000000000000000000e+00,-6.282105775256922528e-03,-9.636957422881724245e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
3.499999999999999778e-01,0.000000000000000000e+00,-6.469806918183978323e-03,-1.027934832249237200e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
3.750000000000000000e-01,0.000000000000000000e+00,-6.635396738031121462e-03,-1.091136436995084232e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
4.000000000000000222e-01,0.000000000000000000e+00,-6.780440089033462452e-03,-1.153248393488935306e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
4.249999999999999889e-01,0.000000000000000000e+00,-6.906399987741348480e-03,-1.214221682314453772e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
4.500000000000000111e-01,0.000000000000000000e+00,-7.014660498525023165e-03,-1.274011256663865055e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
4.749999999999999778e-01,0.000000000000000000e+00,-7.106544305210086600e-03,-1.332576704352192963e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
5.000000000000000000e-01,0.000000000000000000e+00,-7.183326411771937155e-03,-1.389882816046486558e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
5.250000000000000222e-01,0.000000000000000000e+00,-7.246244940247823819e-03,-1.445900109175222471e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
5.500000000000000444e-01,0.000000000000000000e+00,-7.296509684036283847e-03,-1.500605342603103694e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
5.749999999999999556e-01,0.000000000000000000e+00,-7.335308862959307764e-03,-1.553982048508227055e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
5.999999999999999778e-01,0.000000000000000000e+00,-7.363814373581271597e-03,-1.606021102857740565e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
6.250000000000000000e-01,0.000000000000000000e+00,-7.383185709661341418e-03,-1.656721353162539379e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
6.500000000000000222e-01,0.000000000000000000e+00,-7.394572626339887371e-03,-1.706090320990538006e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
6.750000000000000444e-01,0.000000000000000000e+00,-7.399116524416048633e-03,-1.754144996457825817e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
6.999999999999999556e-01,0.000000000000000000e+00,-7.397950425321914332e-03,-1.800912742082748721e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
7.249999999999999778e-01,0.000000000000000000e+00,-7.392197278864287222e-03,-1.846432323330763486e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
7.500000000000000000e-01,0.000000000000000000e+00,-7.382966175667630103e-03,-1.890755081823330616e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
7.750000000000000222e-01,0.000000000000000000e+00,-7.371345797381151192e-03,-1.933946262484724510e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
8.000000000000000444e-01,0.000000000000000000e+00,-7.358394089295775507e-03,-1.976086493710723507e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
8.249999999999999556e-01,0.000000000000000000e+00,-7.345122620035144691e-03,-2.017273391279975764e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
8.499999999999999778e-01,0.000000000000000000e+00,-7.332473308844142910e-03,-2.057623193470945258e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
8.750000000000000000e-01,0.000000000000000000e+00,-7.321284021539548742e-03,-2.097272194955318927e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
9.000000000000000222e-01,0.000000000000000000e+00,-7.312237795712505511e-03,-2.136377433331470774e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
9.250000000000000444e-01,0.000000000000000000e+00,-7.305787992064821136e-03,-2.175115354547108720e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
9.499999999999999556e-01,0.000000000000000000e+00,-7.302048402344665616e-03,-2.213675399501414953e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
