X,Y,UX,UY,BOUNDARY,FORCE,MODULUS
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
5.000000000000000278e-02,0.000000000000000000e+00,-9.967670247913397365e-04,-1.053350220558374939e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.000000000000000056e-01,0.000000000000000000e+00,-1.690112688736458615e-03,-1.868675918459929402e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.499999999999999944e-01,0.000000000000000000e+00,-2.226419588049095410e-03,-2.646053292201650236e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
2.000000000000000111e-01,0.000000000000000000e+00,-2.654634320303218310e-03,-3.405165285512342429e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
2.500000000000000000e-01,0.000000000000000000e+00,-2.999748965221254917e-03,-4.147773798341070767e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
2.999999999999999889e-01,0.000000000000000000e+00,-3.277126003973483432e-03,-4.872340394771267937e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
3.499999999999999778e-01,0.000000000000000000e+00,-3.497475690188786655e-03,-5.576558668674794911e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
4.000000000000000222e-01,0.000000000000000000e+00,-3.669036093770569086e-03,-6.258051598325907634e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
4.500000000000000111e-01,0.000000000000000000e+00,-3.798650311741613630e-03,-6.914644264104779885e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
5.000000000000000000e-01,0.000000000000000000e+00,-3.892344971962982594e-03,-7.544507804571126512e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
5.500000000000000444e-01,0.000000000000000000e+00,-3.955661444412510337e-03,-8.146260311603720911e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
5.999999999999999778e-01,0.000000000000000000e+00,-3.993853566935138058e-03,-8.719058021333981473e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
6.500000000000000222e-01,0.000000000000000000e+00,-4.012005081367182001e-03,-9.262694187474699095e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
6.999999999999999556e-01,0.000000000000000000e+00,-4.015089716043316985e-03,-9.777717597319705856e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
7.500000000000000000e-01,0.000000000000000000e+00,-4.007978193750901322e-03,-1.026558059579481264e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
8.000000000000000444e-01,0.000000000000000000e+00,-3.995380019781899841e-03,-1.072882386168078767e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
8.499999999999999778e-01,0.000000000000000000e+00,-3.981686653247681548e-03,-1.117129550276494375e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
9.000000000000000222e-01,0.000000000000000000e+00,-3.970646836712075044e-03,-1.159836502127981235e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
9.499999999999999556e-01,0.000000000000000000e+00,-3.964728064517359166e-03,-1.201694775980145791e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.000000000000000000e+00,0.000000000000000000e+00,-3.963754928996796913e-03,-1.243447832643097307e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
0.000000000000000000e+00,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
5.000000000000000278e-02,5.000000000000000278e-02,-5.368066541980636916e-04,-7.667773504015034476e-04,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.000000000000000056e-01,5.000000000000000278e-02,-1.113698550403276330e-03,-1.627390882578417077e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.499999999999999944e-01,5.000000000000000278e-02,-1.602991341893428073e-03,-2.448672608814846888e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
2.000000000000000111e-01,5.000000000000000278e-02,-2.012465160862956810e-03,-3.243260486111028580e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
2.500000000000000000e-01,5.000000000000000278e-02,-2.353517009994165066e-03,-4.015256246306717243e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
