X,Y,UX,UY,BOUNDARY,FORCE,MODULUS
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.250000000000000000e-01,0.000000000000000000e+00,-2.059369679032663214e-01,-1.645429985702854259e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
2.500000000000000000e-01,0.000000000000000000e+00,-3.739074763496887943e-01,-3.108893015150392958e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
3.750000000000000000e-01,0.000000000000000000e+00,-5.233509134138039087e-01,-4.840602617009463482e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
5.000000000000000000e-01,0.000000000000000000e+00,-6.571283912060233989e-01,-6.887574830611875587e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
6.250000000000000000e-01,0.000000000000000000e+00,-7.753252553999413488e-01,-9.236456313191929723e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
7.500000000000000000e-01,0.000000000000000000e+00,-8.774681028608581901e-01,-1.185463032125859240e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
8.750000000000000000e-01,0.000000000000000000e+00,-9.630858711487264578e-01,-1.470024120889781072e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.000000000000000000e+00,0.000000000000000000e+00,-1.031939842304366417e+00,-1.772563248910768330e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.125000000000000000e+00,0.000000000000000000e+00,-1.084221863337436531e+00,-2.087921085791465625e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.250000000000000000e+00,0.000000000000000000e+00,-1.120774859695528480e+00,-2.410751426936192487e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.375000000000000000e+00,0.000000000000000000e+00,-1.143301642959495767e+00,-2.735827607519685678e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.500000000000000000e+00,0.000000000000000000e+00,-1.154490230044973975e+00,-3.058491744475542617e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.625000000000000000e+00,0.000000000000000000e+00,-1.158176563011881877e+00,-3.374898265990329271e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.750000000000000000e+00,0.000000000000000000e+00,-1.158170297453517072e+00,-3.684607984849762374e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.875000000000000000e+00,0.000000000000000000e+00,-1.157288709684994865e+00,-3.989430884490374751e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
2.000000000000000000e+00,0.000000000000000000e+00,-1.157083389701018206e+00,-4.292096441231760373e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
0.000000000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.250000000000000000e-01,1.250000000000000000e-01,-1.128168500620776310e-01,-1.017000549326937675e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
