source,target
0,1
0,13
0,14
1,2
1,14
1,15
2,3
2,15
2,16
3,4
3,16
3,17
4,5
4,17
4,18
5,6
5,18
5,19
6,7
6,19
6,20
7,8
7,20
7,21
8,9
8,21
8,22
9,10
9,22
9,23
10,11
10,23
10,24
11,12
11,24
11,25
12,25
13,14
13,26
13,27
14,15
14,27
14,28
15,16
15,28
15,29
16,17
16,29
16,30
17,18
17,30
17,31
18,19
18,31
18,32
19,20
19,32
19,33
20,21
20,33
20,34
21,22
21,34
21,35
22,23
22,35
22,36
23,24
23,36
23,37
24,25
24,37
24,38
25,38
26,27
26,39
26,40
27,28
27,40
27,41
28,29
28,41
28,42
29,30
29,42
29,43
30,31
30,43
30,44
31,32
31,44
31,45
32,33
32,45
32,46
33,34
33,46
33,47
34,35
34,47
34,48
35,36
35,48
35,49
36,37
36,49
36,50
37,38
37,50
37,51
38,51
39,40
39,52
39,53
40,41
40,53
40,54
41,42
41,54
41,55
42,43
42,55
42,56
43,44
43,56
43,57
44,45
44,57
44,58
45,46
45,58
45,59
46,47
46,59
46,60
47,48
47,60
47,61
48,49
48,61
48,62
49,50
49,62
49,63
50,51
50,63
50,64
51,64
52,53
52,65
52,66
53,54
53,66
53,67
54,55
54,67
54,68
55,56
55,68
55,69
56,57
56,69
56,70
57,58
57,70
57,71
58,59
58,71
58,72
59,60
59,72
59,73
60,61
60,73
60,74
61,62
61,74
61,75
62,63
62,75
62,76
63,64
63,76
63,77
64,77
65,66
65,78
65,79
66,67
66,79
66,80
67,68
67,80
67,81
68,69
68,81
68,82
69,70
69,82
69,83
70,71
70,83
70,84
71,72
71,84
71,85
72,73
72,85
72,86
73,74
73,86
73,87
74,75
74,87
74,88
75,76
75,88
75,89
76,77
76,89
76,90
77,90
78,79
78,91
78,92
79,80
79,92
79,93
80,81
80,93
80,94
81,82
81,94
81,95
82,83
82,95
82,96
83,84
83,96
83,97
84,85
84,97
84,98
85,86
85,98
85,99
86,87
86,99
86,100
87,88
87,100
87,101
88,89
88,101
88,102
89,90
89,102
89,103
90,103
91,92
91,104
91,105
92,93
92,105
92,106
93,94
93,106
93,107
94,95
94,107
94,108
95,96
95,108
95,109
96,97
96,109
96,110
97,98
97,110
97,111
98,99
98,111
98,112
99,100
99,112
99,113
100,101
100,113
100,114
101,102
101,114
101,115
102,103
102,115
102,116
103,116
104,105
104,117
104,118
105,106
105,118
105,119
106,107
106,119
106,120
107,108
107,120
107,121
108,109
108,121
108,122
109,110
109,122
109,123
110,111
110,123
110,124
111,112
111,124
111,125
112,113
112,125
112,126
113,114
113,126
113,127
114,115
114,127
114,128
115,116
115,128
115,129
116,129
117,118
117,130
117,131
118,119
118,131
118,132
119,120
119,132
119,133
120,121
120,133
120,134
121,122
121,134
121,135
122,123
122,135
122,136
123,124
123,136
123,137
124,125
124,137
124,138
125,126
125,138
125,139
126,127
126,139
126,140
127,128
127,140
127,141
128,129
128,141
128,142
129,142
130,131
130,143
130,144
131,132
131,144
131,145
132,133
132,145
132,146
133,134
133,146
133,147
134,135
134,147
134,148
135,136
135,148
135,149
136,137
136,149
136,150
137,138
137,150
137,151
138,139
138,151
138,152
139,140
139,152
139,153
140,141
140,153
140,154
141,142
141,154
141,155
142,155
143,144
143,156
143,157
144,145
144,157
144,158
145,146
145,158
145,159
146,147
146,159
146,160
147,148
147,160
147,161
148,149
148,161
148,162
149,150
149,162
149,163
150,151
150,163
150,164
151,152
151,164
151,165
152,153
152,165
152,166
153,154
153,166
153,167
154,155
154,167
154,168
155,168
156,157
157,158
158,159
159,160
160,161
161,162
162,163
163,164
164,165
165,166
166,167
167,168
