source,target
0,1
0,6
0,7
1,2
1,7
1,8
2,3
2,8
2,9
3,4
3,9
3,10
4,5
4,10
4,11
5,11
6,7
6,12
6,13
7,8
7,13
7,14
8,9
8,14
8,15
9,10
9,15
9,16
10,11
10,16
10,17
11,17
12,13
12,18
12,19
13,14
13,19
13,20
14,15
14,20
14,21
15,16
15,21
15,22
16,17
16,22
16,23
17,23
18,19
18,24
18,25
19,20
19,25
19,26
20,21
20,26
20,27
21,22
21,27
21,28
22,23
22,28
22,29
23,29
24,25
24,30
24,31
25,26
25,31
25,32
26,27
26,32
26,33
27,28
27,33
27,34
28,29
28,34
28,35
29,35
30,31
30,36
30,37
31,32
31,37
31,38
32,33
32,38
32,39
33,34
33,39
33,40
34,35
34,40
34,41
35,41
36,37
36,42
36,43
37,38
37,43
37,44
38,39
38,44
38,45
39,40
39,45
39,46
40,41
40,46
40,47
41,47
42,43
42,48
42,49
43,44
43,49
43,50
44,45
44,50
44,51
45,46
45,51
45,52
46,47
46,52
46,53
47,53
48,49
48,54
48,55
49,50
49,55
49,56
50,51
50,56
50,57
51,52
51,57
51,58
52,53
52,58
52,59
53,59
54,55
54,60
54,61
55,56
55,61
55,62
56,57
56,62
56,63
57,58
57,63
57,64
58,59
58,64
58,65
59,65
60,61
60,66
60,67
61,62
61,67
61,68
62,63
62,68
62,69
63,64
63,69
63,70
64,65
64,70
64,71
65,71
66,67
66,72
66,73
67,68
67,73
67,74
68,69
68,74
68,75
69,70
69,75
69,76
70,71
70,76
70,77
71,77
72,73
72,78
72,79
73,74
73,79
73,80
74,75
74,80
74,81
75,76
75,81
75,82
76,77
76,82
76,83
77,83
78,79
78,84
78,85
79,80
79,85
79,86
80,81
80,86
80,87
81,82
81,87
81,88
82,83
82,88
82,89
83,89
84,85
84,90
84,91
85,86
85,91
85,92
86,87
86,92
86,93
87,88
87,93
87,94
88,89
88,94
88,95
89,95
90,91
90,96
90,97
91,92
91,97
91,98
92,93
92,98
92,99
93,94
93,99
93,100
94,95
94,100
94,101
95,101
96,97
96,102
96,103
97,98
97,103
97,104
98,99
98,104
98,105
99,100
99,105
99,106
100,101
100,106
100,107
101,107
102,103
102,108
102,109
103,104
103,109
103,110
104,105
104,110
104,111
105,106
105,111
105,112
106,107
106,112
106,113
107,113
108,109
108,114
108,115
109,110
109,115
109,116
110,111
110,116
110,117
111,112
111,117
111,118
112,113
112,118
112,119
113,119
114,115
114,120
114,121
115,116
115,121
115,122
116,117
116,122
116,123
117,118
117,123
117,124
118,119
118,124
118,125
119,125
120,121
121,122
122,123
123,124
124,125
