X,Y,UX,UY,BOUNDARY,FORCE,MODULUS
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
6.250000000000000000e-02,0.000000000000000000e+00,-1.939332112343451764e-02,-2.083670641521557024e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.250000000000000000e-01,0.000000000000000000e+00,-3.261248408223334228e-02,-3.718993898576455209e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.875000000000000000e-01,0.000000000000000000e+00,-4.260055867250246014e-02,-5.283571453739353135e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
2.500000000000000000e-01,0.000000000000000000e+00,-5.033893091977385131e-02,-6.808171661318968004e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
3.125000000000000000e-01,0.000000000000000000e+00,-5.633554529793562832e-02,-8.291600219952774409e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
3.750000000000000000e-01,0.000000000000000000e+00,-6.090993032092583553e-02,-9.727342012428619178e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
4.375000000000000000e-01,0.000000000000000000e+00,-6.429329322084367804e-02,-1.110799128917632911e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
5.000000000000000000e-01,0.000000000000000000e+00,-6.667334943275526893e-02,-1.242653110869881977e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
5.625000000000000000e-01,0.000000000000000000e+00,-6.821719176036855625e-02,-1.367701357699589171e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
6.250000000000000000e-01,0.000000000000000000e+00,-6.908389810833251432e-02,-1.485516926363474877e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
6.875000000000000000e-01,0.000000000000000000e+00,-6.943148585010378016e-02,-1.595911334030319650e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
7.500000000000000000e-01,0.000000000000000000e+00,-6.941983454393133024e-02,-1.699023821267305334e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
8.125000000000000000e-01,0.000000000000000000e+00,-6.920944179707985700e-02,-1.795435719504351602e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
8.750000000000000000e-01,0.000000000000000000e+00,-6.895409199253486887e-02,-1.886309756276015048e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
9.375000000000000000e-01,0.000000000000000000e+00,-6.878224203775974710e-02,-1.973518394293787559e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.000000000000000000e+00,0.000000000000000000e+00,-6.874973546829345195e-02,-2.059493776816890831e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
0.000000000000000000e+00,6.060606060606060774e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
6.250000000000000000e-02,6.060606060606060774e-02,-1.034221612815970290e-02,-1.543659957006808352e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.250000000000000000e-01,6.060606060606060774e-02,-2.132574155333741978e-02,-3.276290561516080613e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.875000000000000000e-01,6.060606060606060774e-02,-3.044694004275911095e-02,-4.930708774395872740e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
2.500000000000000000e-01,6.060606060606060774e-02,-3.789341770478137084e-02,-6.527725550093818607e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
3.125000000000000000e-01,6.060606060606060774e-02,-4.390661766219013107e-02,-8.071154268346146521e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
3.750000000000000000e-01,6.060606060606060774e-02,-4.868874674768264993e-02,-9.557692859756487802e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
4.375000000000000000e-01,6.060606060606060774e-02,-5.240977235948171553e-02,-1.098172362970928490e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
5.000000000000000000e-01,6.060606060606060774e-02,-5.521866518124986245e-02,-1.233718476549114651e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
5.625000000000000000e-01,6.060606060606060774e-02,-5.725202407426524531e-02,-1.361859213915675992e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
6.250000000000000000e-01,6.060606060606060774e-02,-5.863986047849539113e-02,-1.482184523698020229e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
6.875000000000000000e-01,6.060606060606060774e-02,-5.950895412929414763e-02,-1.594505679629466544e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
7.500000000000000000e-01,6.060606060606060774e-02,-5.998407391698525742e-02,-1.698953237828229323e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
8.125000000000000000e-01,6.060606060606060774e-02,-6.018719020391819635e-02,-1.796098472666884938e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
8.750000000000000000e-01,6.060606060606060774e-02,-6.023471785379284210e-02,-1.887102037195214632e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
9.375000000000000000e-01,6.060606060606060774e-02,-6.023258968176591760e-02,-1.973878868223747085e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.000000000000000000e+00,6.060606060606060774e-02,-6.026644554421021344e-02,-2.059223582448711787e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
0.000000000000000000e+00,1.212121212121212155e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
6.250000000000000000e-02,1.212121212121212155e-01,-7.215667488334257841e-03,-1.381604514509474427e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.250000000000000000e-01,1.212121212121212155e-01,-1.487088618157544027e-02,-2.991344713260999863e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.875000000000000000e-01,1.212121212121212155e-01,-2.227921326861227042e-02,-4.655474868355408830e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
2.500000000000000000e-01,1.212121212121212155e-01,-2.879633219988922410e-02,-6.288526987446685368e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
3.125000000000000000e-01,1.212121212121212155e-01,-3.432611719269255957e-02,-7.872450464628827360e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
3.750000000000000000e-01,1.212121212121212155e-01,-3.890518564746895530e-02,-9.398248049519423997e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
4.375000000000000000e-01,1.212121212121212155e-01,-4.260872596935107864e-02,-1.085848383694592162e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
5.000000000000000000e-01,1.212121212121212155e-01,-4.552446055991947460e-02,-1.224641720833329339e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
5.625000000000000000e-01,1.212121212121212155e-01,-4.774449806563992038e-02,-1.355623290842054574e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
6.250000000000000000e-01,1.212121212121212155e-01,-4.936280938999528661e-02,-1.478357479883246894e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
6.875000000000000000e-01,1.212121212121212155e-01,-5.047452891513011519e-02,-1.592625907459735146e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
7.500000000000000000e-01,1.212121212121212155e-01,-5.117584460851667266e-02,-1.698516826027538507e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
8.125000000000000000e-01,1.212121212121212155e-01,-5.156430600772574091e-02,-1.796535163699078119e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
