X,Y,UX,UY,BOUNDARY,FORCE,MODULUS
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
2.500000000000000139e-02,0.000000000000000000e+00,-4.415887896243644167e-02,-4.102501367798557647e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
5.000000000000000278e-02,0.000000000000000000e+00,-7.757019516183659424e-02,-6.850553681113058513e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
7.499999999999999722e-02,0.000000000000000000e+00,-1.066058070705413335e-01,-9.302385204458728241e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.000000000000000056e-01,0.000000000000000000e+00,-1.331612169256069511e-01,-1.164769687754464850e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.250000000000000000e-01,0.000000000000000000e+00,-1.580531595103026599e-01,-1.396158346064519384e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.499999999999999944e-01,0.000000000000000000e+00,-1.816886291954285249e-01,-1.628441126303218633e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
1.749999999999999889e-01,0.000000000000000000e+00,-2.042891163253388043e-01,-1.864049420312136607e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
2.000000000000000111e-01,0.000000000000000000e+00,-2.259831407621257504e-01,-2.104517557109402137e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
2.250000000000000056e-01,0.000000000000000000e+00,-2.468488589526967036e-01,-2.350827012188478615e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
2.500000000000000000e-01,0.000000000000000000e+00,-2.669353073106715546e-01,-2.603596540806887294e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
2.750000000000000222e-01,0.000000000000000000e+00,-2.862737521531618645e-01,-2.863195285469902207e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
2.999999999999999889e-01,0.000000000000000000e+00,-3.048841557714888073e-01,-3.129813591551608432e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
3.250000000000000111e-01,0.000000000000000000e+00,-3.227790871404976336e-01,-3.403509203820165308e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
3.499999999999999778e-01,0.000000000000000000e+00,-3.399662195923786601e-01,-3.684238516558558940e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
3.750000000000000000e-01,0.000000000000000000e+00,-3.564500052512561412e-01,-3.971878435485025061e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
4.000000000000000222e-01,0.000000000000000000e+00,-3.722328463550845234e-01,-4.266242166500042732e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+03
