X,Y,UX,UY,BOUNDARY,FORCE,MODULUS
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
2.000000000000000111e-01,0.000000000000000000e+00,-5.607340878740081358e-01,-3.678437375807779297e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
4.000000000000000222e-01,0.000000000000000000e+00,-1.057349503955141712e+00,-8.016431134438756212e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
5.999999999999999778e-01,0.000000000000000000e+00,-1.521764569529756139e+00,-1.407668620454335606e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
8.000000000000000444e-01,0.000000000000000000e+00,-1.953914461701131033e+00,-2.189610939911848408e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
1.000000000000000000e+00,0.000000000000000000e+00,-2.351459430273472595e+00,-3.137196334433273393e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
1.199999999999999956e+00,0.000000000000000000e+00,-2.712724452909965667e+00,-4.236668164605168485e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
1.399999999999999911e+00,0.000000000000000000e+00,-3.036747028125841741e+00,-5.473211570027917361e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
1.600000000000000089e+00,0.000000000000000000e+00,-3.322978678406366182e+00,-6.831696139259393341e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
1.800000000000000044e+00,0.000000000000000000e+00,-3.571009569135370043e+00,-8.296865114882587378e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
2.000000000000000000e+00,0.000000000000000000e+00,-3.780345872466468915e+00,-9.853230120626809807e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
2.200000000000000178e+00,0.000000000000000000e+00,-3.950272547199518591e+00,-1.148469330683162859e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
2.399999999999999911e+00,0.000000000000000000e+00,-4.080059129927839479e+00,-1.317404402658235085e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
2.600000000000000089e+00,0.000000000000000000e+00,-4.169831969258672721e+00,-1.490275734526953499e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
2.799999999999999822e+00,0.000000000000000000e+00,-4.222023012931446218e+00,-1.665149779760704618e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
3.000000000000000000e+00,0.000000000000000000e+00,-4.242871846258263524e+00,-1.840155419188599240e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
3.200000000000000178e+00,0.000000000000000000e+00,-4.246738394035320496e+00,-2.013156285679598412e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
3.399999999999999911e+00,0.000000000000000000e+00,-4.244938210947490909e+00,-2.184663916606313094e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
3.600000000000000089e+00,0.000000000000000000e+00,-4.242557490073044058e+00,-2.355397852007081383e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
3.799999999999999822e+00,0.000000000000000000e+00,-4.241206166566842128e+00,-2.525822903451654966e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
4.000000000000000000e+00,0.000000000000000000e+00,-4.240982356265754483e+00,-2.696206478897452286e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
0.000000000000000000e+00,2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
2.000000000000000111e-01,2.000000000000000111e-01,-2.695422998680523374e-01,-1.980181575952087436e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
4.000000000000000222e-01,2.000000000000000111e-01,-5.808773822227666361e-01,-6.338798589955453311e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
5.999999999999999778e-01,2.000000000000000111e-01,-8.695208188003124006e-01,-1.250233600951607960e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
8.000000000000000444e-01,2.000000000000000111e-01,-1.134183065952909297e+00,-2.043955033170022695e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
1.000000000000000000e+00,2.000000000000000111e-01,-1.375490426930569221e+00,-3.003961351737097107e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
1.199999999999999956e+00,2.000000000000000111e-01,-1.593772832130867512e+00,-4.116177419016172401e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
1.399999999999999911e+00,2.000000000000000111e-01,-1.789168306184170776e+00,-5.365615453213208319e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
1.600000000000000089e+00,2.000000000000000111e-01,-1.961740082724553025e+00,-6.737059105045826612e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
1.800000000000000044e+00,2.000000000000000111e-01,-2.111523382089139922e+00,-8.215238602644724608e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
2.000000000000000000e+00,2.000000000000000111e-01,-2.238515191201778443e+00,-9.784751387836031711e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
2.200000000000000178e+00,2.000000000000000111e-01,-2.342585258726285424e+00,-1.142972132231025739e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
2.399999999999999911e+00,2.000000000000000111e-01,-2.423310430219255629e+00,-1.313309243926396874e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
2.600000000000000089e+00,2.000000000000000111e-01,-2.480267021231489899e+00,-1.487599834309934188e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
2.799999999999999822e+00,2.000000000000000111e-01,-2.514194087718501613e+00,-1.663802375936999667e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
3.000000000000000000e+00,2.000000000000000111e-01,-2.528419925132714852e+00,-1.839870364965705818e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
3.200000000000000178e+00,2.000000000000000111e-01,-2.533457854236016882e+00,-2.013202302756157991e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
3.399999999999999911e+00,2.000000000000000111e-01,-2.535102316448104354e+00,-2.184762320220814402e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
3.600000000000000089e+00,2.000000000000000111e-01,-2.535569618848770634e+00,-2.355467775940666542e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
3.799999999999999822e+00,2.000000000000000111e-01,-2.535735187655321798e+00,-2.525844146713489025e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
4.000000000000000000e+00,2.000000000000000111e-01,-2.536027550302359934e+00,-2.696184097867344676e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
0.000000000000000000e+00,4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
2.000000000000000111e-01,4.000000000000000222e-01,-7.994184707829954384e-02,-1.402648975199201065e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
4.000000000000000222e-01,4.000000000000000222e-01,-1.783913866460823117e-01,-5.476593197702097626e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
5.999999999999999778e-01,4.000000000000000222e-01,-2.796019218810818496e-01,-1.166298443440552335e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+04
