X,Y,UX,UY,LOAD,BOUNDARY
3.499999999999999778e-01,8.000000000000000167e-02,-2.011837267219758734e-03,-1.720918740022265095e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,8.000000000000000167e-02,-2.302887770555524325e-03,-2.259591004245614654e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,8.000000000000000167e-02,-2.593779160866410954e-03,-2.871016810523104035e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,8.000000000000000167e-02,-2.884434677433386253e-03,-3.555192252843995121e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,8.000000000000000167e-02,-3.174581610486952761e-03,-4.312118609062963459e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,8.000000000000000167e-02,-3.463734609540249434e-03,-5.141815052616425380e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000222e-01,8.000000000000000167e-02,-3.751371864473102783e-03,-6.044359215755999021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.999999999999999556e-01,8.000000000000000167e-02,-4.037932120696482476e-03,-7.019996112792684095e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,8.000000000000000167e-02,-4.328136930380714099e-03,-8.069404217868848816e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,8.000000000000000167e-02,-4.639489760320409176e-03,-9.194333879988506042e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.499999999999999778e-01,8.000000000000000167e-02,-5.019166174413539419e-03,-1.039941261284832580e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,8.000000000000000167e-02,-5.525389739877499019e-03,-1.169285430049581409e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.499999999999999556e-01,8.000000000000000167e-02,-6.076618491415392530e-03,-1.307444064721305921e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,8.000000000000000167e-02,-5.806641159839835351e-03,-1.459730287382508540e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000233e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000278e-02,1.200000000000000233e-01,2.743835110725951110e-04,-1.759796721772245969e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.200000000000000233e-01,5.643313179642670593e-04,-1.177189717663573243e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-01,1.200000000000000233e-01,8.502053494089766147e-04,-2.929124390913911448e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.200000000000000233e-01,1.136483823886137246e-03,-5.410173583593411335e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,1.200000000000000233e-01,1.425286230387286940e-03,-8.616633346427810328e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,1.200000000000000233e-01,1.715554846236120668e-03,-1.254934286479388733e-02,0.000000000000000000e+00,0.000000000000000000e+00
